marketplace,campaign_id,campaign_name,date,status,daily_budget,impressions,clicks,sold,ad_fees,sales
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-03,Active,£ 40.00,108380,49,24,9.05,106.9
UK,167283803016,GAG2 Multi Listing Priority,2026-08-03,Active,£ 20.00,999,26,11,4.97,24.95
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-03,Active,$ 60.00,0,0,4,0.0,8.39
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-03,Active,£ 40.00,0,0,1,0.0,8.15
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-03,Active,$ 10.00,44555,28,2,4.97,5.51
US,167283803016,GAG2 Multi Listing Priority,2026-08-03,Active,£ 20.00,0,0,1,0.0,3.03
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-03,Active,$ 60.00,6043,199,34,43.35,199.45
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-04,Active,£ 40.00,136189,38,20,7.18,218.98
UK,167283803016,GAG2 Multi Listing Priority,2026-08-04,Active,£ 20.00,1428,32,25,5.21,73.38
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-04,Active,$ 60.00,0,0,2,0.0,11.67
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-04,Active,£ 40.00,0,0,1,0.0,15.32
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-04,Active,$ 10.00,101530,67,4,15.3,22.52
US,167283803016,GAG2 Multi Listing Priority,2026-08-04,Active,£ 20.00,0,0,1,0.0,4.03
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-04,Active,$ 60.00,6455,194,16,43.41,100.59
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-05,Active,£ 40.00,115889,36,21,6.15,76.08
UK,167283803016,GAG2 Multi Listing Priority,2026-08-05,Active,£ 20.00,1262,33,13,6.04,41.45
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-05,Active,$ 60.00,0,0,3,0.0,22.95
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-05,Active,£ 40.00,0,0,6,0.0,8.35
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-05,Active,$ 10.00,154450,69,4,14.84,19.77
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-05,Active,$ 60.00,4384,124,17,27.97,87.69
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-06,Active,£ 40.00,93204,45,10,7.76,51.6
UK,167283803016,GAG2 Multi Listing Priority,2026-08-06,Active,£ 20.00,1340,29,11,6.45,22.29
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-06,Active,$ 60.00,0,0,10,0.0,92.98
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-06,Active,£ 40.00,0,0,1,0.0,26.52
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-06,Active,$ 10.00,215413,76,4,15.25,61.26
US,167283803016,GAG2 Multi Listing Priority,2026-08-06,Active,£ 20.00,0,0,2,0.0,15.23
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-06,Active,$ 60.00,4517,99,17,22.64,105.61
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-07,Active,£ 40.00,86660,28,15,4.97,130.59
UK,167283803016,GAG2 Multi Listing Priority,2026-08-07,Active,£ 20.00,1116,25,9,6.67,29.95
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-07,Active,$ 60.00,0,0,3,0.0,17.98
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-07,Active,£ 40.00,0,0,7,0.0,58.89
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-07,Active,$ 10.00,188722,60,5,9.81,14.09
US,167283803016,GAG2 Multi Listing Priority,2026-08-07,Active,£ 20.00,0,0,1,0.0,4.02
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-07,Active,$ 60.00,3536,104,14,37.22,106.57
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-08,Active,£ 40.00,95658,19,29,3.41,100.3
UK,167283803016,GAG2 Multi Listing Priority,2026-08-08,Active,£ 20.00,921,34,16,18.78,59.7
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-08,Active,$ 10.00,134132,30,1,6.95,2.02
US,167283803016,GAG2 Multi Listing Priority,2026-08-08,Active,£ 20.00,0,0,1,0.0,3.02
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-08,Active,$ 60.00,4210,87,28,50.5,101.65
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-09,Active,£ 40.00,110046,20,7,2.86,40.95
UK,167283803016,GAG2 Multi Listing Priority,2026-08-09,Active,£ 20.00,841,30,6,25.04,33.7
US,166974278016,"Priority - 17/07/2026, 12:31",2026-08-09,Active,£ 40.00,0,0,1,0.0,3.02
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-09,Active,$ 10.00,129231,40,2,6.97,18.27
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-09,Active,$ 60.00,4063,98,16,33.41,83.02
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-10,Active,£ 40.00,87274,29,4,5.14,21.8
UK,167283803016,GAG2 Multi Listing Priority,2026-08-10,Active,£ 20.00,852,30,10,18.78,37.5
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-10,Active,$ 60.00,0,0,1,0.0,3.19
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-10,Active,$ 10.00,138633,39,3,7.1,23.87
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-10,Active,$ 60.00,3935,88,12,29.23,89.37
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-11,Active,£ 40.00,79167,28,4,5.28,29.8
UK,167283803016,GAG2 Multi Listing Priority,2026-08-11,Active,£ 20.00,1067,22,17,6.33,54.75
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-11,Active,$ 10.00,68316,27,0,7.0,0.0
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-11,Active,$ 60.00,3726,90,12,40.51,72.99
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-12,Active,£ 40.00,65391,14,4,2.98,27.8
UK,167283803016,GAG2 Multi Listing Priority,2026-08-12,Active,£ 20.00,641,13,4,4.81,18.3
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-12,Active,$ 60.00,0,0,1,0.0,34.5
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-12,Active,$ 10.00,14037,5,0,0.61,0.0
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-12,Active,$ 60.00,417,6,0,4.07,0.0
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-13,Active,£ 40.00,74410,7,2,0.71,7.2
UK,167283803016,GAG2 Multi Listing Priority,2026-08-13,Active,£ 20.00,1336,12,10,3.45,39.3
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-13,Active,$ 60.00,0,0,1,0.0,19.85
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-13,Active,$ 5.00,109646,53,5,7.07,8.41
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-13,Active,$ 20.00,2642,67,9,21.11,50.86
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-14,Active,£ 40.00,59456,4,4,1.0,18.84
UK,167283803016,GAG2 Multi Listing Priority,2026-08-14,Active,£ 20.00,661,15,4,8.15,32.84
UK,167283804016,GAG2 Multi Listing Priority USA,2026-08-14,Active,$ 20.00,0,0,1,0.0,6.23
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-14,Active,$ 5.00,125288,33,6,5.61,63.73
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-14,Active,$ 20.00,2737,45,3,16.32,6.23
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-15,Active,£ 40.00,88997,21,1,2.55,3.95
UK,167283803016,GAG2 Multi Listing Priority,2026-08-15,Active,£ 20.00,674,11,11,1.92,47.59
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-15,Active,$ 5.00,84166,27,2,3.65,26.25
US,167283804016,GAG2 Multi Listing Priority USA,2026-08-15,Active,$ 20.00,2383,39,4,14.91,13.11
UK,166974278016,"Priority - 17/07/2026, 12:31",2026-08-16,Active,£ 40.00,48892,13,9,2.03,57.95
UK,167283803016,GAG2 Multi Listing Priority,2026-08-16,Active,£ 20.00,690,16,3,2.98,33.05
US,167012418016,"Priority - 07/19/2026, 08:10",2026-08-16,Active,$ 5.00,87250,18,0,3.52,0.0
